Month,Handle,Revenue,Hold,Taxes
June 2018,"$309,695,659","$24,630,915",8.0%,"$1,895,011"
July 2018,"$294,006,820","$8,433,994",2.9%,"$926,804"
August 2018,"$359,275,692","$23,625,881",6.6%,"$2,524,419"
September 2018,"$817,681,310","$95,358,434",11.7%,"$12,601,788"
October 2018,"$854,014,077","$45,832,391",5.4%,"$6,074,191"
November 2018,"$996,071,884","$54,349,323",5.5%,"$7,058,942"
December 2018,"$990,933,059","$82,266,923",8.3%,"$12,201,908"
January 2019,"$1,002,092,655","$43,052,327",4.3%,"$7,135,878"
February 2019,"$881,756,490","$51,972,715",5.9%,"$5,041,316"
March 2019,"$1,095,788,218","$79,875,460",7.3%,"$11,542,553"
April 2019,"$731,628,959","$52,524,099",7.2%,"$7,780,626"
May 2019,"$724,074,602","$32,939,800",4.5%,"$5,038,779"
June 2019,"$685,786,299","$34,150,011",5.0%,"$4,869,605"
July 2019,"$581,017,296","$37,075,760",6.4%,"$5,350,184"
August 2019,"$750,692,735","$62,738,953",8.4%,"$8,497,512"
September 2019,"$1,381,692,847","$143,317,497",10.4%,"$21,997,081"
October 2019,"$1,559,104,891","$155,108,642",9.9%,"$23,220,176"
November 2019,"$1,877,044,887","$113,770,997",6.1%,"$19,249,292"
December 2019,"$1,870,346,374","$114,143,414",6.1%,"$18,148,286"
January 2020,"$1,800,052,757","$139,845,880",7.8%,"$24,858,061"
February 2020,"$1,731,395,665","$84,328,330",4.9%,"$10,634,734"
March 2020,"$612,379,377","$35,297,033",5.8%,"$7,151,661"
April 2020,"$167,875,839","$9,762,318",5.8%,"$2,025,900"
May 2020,"$315,226,816","$25,350,115",8.0%,"$4,339,001"
June 2020,"$447,471,765","$29,732,415",6.6%,"$5,699,888"
July 2020,"$906,977,542","$72,384,321",8.0%,"$10,866,939"
August 2020,"$2,191,669,452","$129,761,682",5.9%,"$19,745,669"
September 2020,"$2,875,270,552","$156,615,169",5.4%,"$20,863,416"
October 2020,"$3,276,726,385","$291,317,909",8.9%,"$46,900,875"
November 2020,"$3,484,288,518","$309,007,013",8.9%,"$53,754,125"
December 2020,"$3,797,269,693","$277,472,250",7.3%,"$46,329,005"
January 2021,"$4,370,440,098","$378,653,248",8.7%,"$55,417,153"
February 2021,"$4,013,657,606","$225,993,459",5.6%,"$30,692,489"
March 2021,"$4,629,130,324","$357,366,025",7.7%,"$46,381,462"
April 2021,"$3,703,934,150","$283,202,902",7.6%,"$41,732,212"
May 2021,"$3,714,799,742","$273,387,615",7.4%,"$40,363,886"
June 2021,"$3,676,060,695","$335,906,085",9.1%,"$50,689,152"
July 2021,"$2,799,391,495","$268,126,230",9.6%,"$38,126,424"
August 2021,"$3,071,879,791","$224,622,673",7.3%,"$29,598,472"
September 2021,"$5,491,749,708","$450,808,836",8.2%,"$52,366,841"
October 2021,"$7,546,972,781","$448,627,693",5.9%,"$56,146,177"
November 2021,"$7,405,646,041","$725,367,326",9.8%,"$101,420,325"
December 2021,"$7,339,244,974","$381,002,482",5.2%,"$40,068,033"
January 2022,"$9,749,393,395","$637,441,784",6.5%,"$131,554,847"
February 2022,"$7,939,395,270","$391,967,457",4.9%,"$70,915,510"
March 2022,"$9,262,257,730","$623,923,142",6.7%,"$120,549,765"
April 2022,"$7,476,187,515","$527,088,608",7.1%,"$112,004,846"
May 2022,"$6,686,988,033","$610,261,607",9.1%,"$122,984,238"
June 2022,"$5,480,948,489","$334,079,739",6.1%,"$71,299,355"
July 2022,"$4,533,090,868","$407,128,610",9.0%,"$85,644,033"
August 2022,"$4,909,529,483","$526,908,745",10.7%,"$110,576,780"
September 2022,"$7,919,599,327","$934,400,945",11.8%,"$176,729,464"
October 2022,"$9,684,589,668","$843,131,862",8.7%,"$172,043,122"
November 2022,"$10,020,250,695","$800,112,609",8.0%,"$175,219,566"
December 2022,"$10,053,933,644","$954,902,919",9.5%,"$176,139,568"
January 2023,"$11,474,863,670","$1,061,830,383",9.3%,"$190,052,480"
February 2023,"$9,009,612,531","$707,276,780",7.9%,"$134,673,908"
March 2023,"$11,262,697,288","$1,079,620,125",9.6%,"$205,446,785"
April 2023,"$9,162,332,943","$862,206,926",9.4%,"$172,940,481"
May 2023,"$8,140,809,203","$919,734,850",11.3%,"$185,055,197"
June 2023,"$6,610,624,444","$547,709,702",8.3%,"$114,414,622"
July 2023,"$5,902,003,690","$619,030,431",10.5%,"$129,111,032"
August 2023,"$6,678,643,742","$620,785,324",9.3%,"$122,162,426"
September 2023,"$11,598,842,407","$1,117,302,550",9.6%,"$209,507,804"
October 2023,"$12,806,208,659","$1,227,579,982",9.6%,"$236,934,330"
November 2023,"$14,477,354,433","$936,201,635",6.5%,"$181,298,109"
December 2023,"$13,971,146,821","$1,355,957,544",9.7%,"$268,173,133"
January 2024,"$13,880,824,567","$1,504,421,360",10.8%,"$297,566,999"
February 2024,"$11,323,276,215","$898,442,155",7.9%,"$175,489,818"
March 2024,"$13,930,823,259","$1,092,063,382",7.8%,"$212,205,924"
April 2024,"$12,083,129,736","$1,183,188,973",9.8%,"$239,812,847"
May 2024,"$11,057,448,008","$1,160,025,779",10.5%,"$247,830,324"
June 2024,"$9,109,577,307","$859,741,058",9.4%,"$179,284,857"
July 2024,"$7,927,335,499","$882,255,548",11.1%,"$186,627,331"
August 2024,"$9,086,723,197","$801,579,184",8.8%,"$165,720,216"
September 2024,"$14,014,232,437","$1,573,726,618",11.2%,"$317,470,619"
October 2024,"$15,217,866,072","$1,084,054,885",7.1%,"$229,939,013"
November 2024,"$16,250,176,658","$1,725,253,643",10.6%,"$368,895,104"
December 2024,"$15,788,474,672","$932,860,666",5.9%,"$212,749,577"
January 2025,"$15,787,851,641","$1,681,235,226",10.6%,"$380,892,032"
February 2025,"$12,521,625,296","$1,231,658,993",9.8%,"$265,362,261"
March 2025,"$15,541,110,957","$1,012,065,320",6.5%,"$222,104,895"
April 2025,"$13,178,037,660","$1,222,056,271",9.3%,"$271,858,881"
May 2025,"$12,803,723,748","$1,426,001,459",11.1%,"$330,970,799"
June 2025,"$10,005,164,424","$1,232,916,801",12.3%,"$288,193,890"
July 2025,"$7,471,301,223","$816,625,751",10.9%,"$187,413,700"
August 2025,"$6,005,154,775","$646,482,435",10.8%,"$170,590,780"
Total,"$554,927,377,821","$48,782,346,307",8.8%,"$9,643,737,525"
