Market,Handle,Revenue,Hold,Taxes
New York,"$74,943,314,880","$6,733,773,065",9.0%,"$3,429,602,256"
New Jersey,"$65,983,301,847","$5,179,582,686",7.8%,"$734,060,602"
Illinois,"$51,920,449,124","$4,390,287,742",8.5%,"$933,633,072"
Nevada,"$49,994,352,733","$2,948,800,000",5.9%,"$199,044,000"
Pennsylvania,"$40,248,096,569","$3,443,195,968",8.6%,"$833,759,648"
Arizona,"$26,761,373,921","$2,319,223,401",8.7%,"$138,753,855"
Colorado,"$25,462,689,771","$1,861,198,633",7.3%,"$116,504,582"
Virginia,"$24,747,646,256","$2,462,525,831",10.0%,"$305,268,179"
Indiana,"$23,445,759,611","$2,112,268,814",9.0%,"$200,692,127"
Michigan,"$22,448,865,439","$2,052,243,994",9.1%,"$101,612,206"
Ohio,"$21,815,927,545","$2,354,036,903",10.8%,"$419,098,903"
Tennessee,"$19,883,080,780","$1,967,172,806",9.9%,"$356,810,909"
Massachusetts,"$16,918,335,173","$1,635,477,903",9.7%,"$317,573,140"
Maryland,"$15,457,382,250","$1,771,976,844",11.5%,"$193,668,517"
Iowa,"$12,088,690,215","$930,546,756",7.7%,"$62,843,768"
Louisiana,"$11,241,771,146","$1,354,206,097",12.0%,"$182,735,602"
North Carolina,"$9,653,423,585","$998,860,385",10.3%,"$171,542,223"
Connecticut,"$7,256,003,742","$762,469,613",10.5%,"$82,015,842"
Kansas,"$6,920,333,310","$632,233,547",9.1%,"$35,674,282"
Kentucky,"$5,073,177,258","$564,652,042",11.1%,"$78,205,864"
New Hampshire,"$3,951,479,110","$347,437,127",8.8%,"$155,984,948"
Oregon,"$3,195,750,802","$346,153,580",10.8%,"$173,076,790"
Mississippi,"$3,158,630,115","$345,815,073",10.9%,"$41,497,809"
West Virginia,"$3,074,125,114","$287,235,757",9.3%,"$69,835,720"
Rhode Island,"$2,661,613,487","$230,440,872",8.7%,"$117,524,845"
District of Columbia,"$1,656,778,555","$193,670,211",11.7%,"$50,530,364"
Arkansas,"$1,597,458,844","$148,385,714",9.3%,"$22,045,028"
Delaware,"$964,105,825","$145,356,752",15.1%,"$86,741,643"
Maine,"$944,333,641","$102,040,743",10.8%,"$10,445,750"
Wyoming,"$686,557,659","$72,222,735",10.5%,"$4,303,911"
Vermont,"$341,894,038","$37,240,813",10.9%,"$10,662,174"
Montana,"$284,708,729","$37,642,299",13.2%,"$5,502,856"
Nebraska,"$112,228,588","$10,638,099",9.5%,"$2,186,097"
South Dakota,"$33,738,158","$3,333,501",9.9%,"$300,015"
Florida,?,?,,?
New Mexico,?,?,,?
North Dakota,?,?,,?
Washintgon,?,?,,?
Wisconsin,?,?,,?
Total,"$554,927,377,821","$48,782,346,307",8.8%,"$9,643,737,525"
