Month,Handle,Revenue,Hold,Taxes,State
September 2021,"$291,212,868","$32,308,342",11.1%,"$31,393",Arizona
October 2021,"$486,097,352","$37,510,371",7.7%,"$1,022,841",Arizona
November 2021,"$466,725,687","$51,416,143",11.0%,"$3,177,148",Arizona
December 2021,"$499,213,733","$39,822,928",8.0%,"$1,723,902",Arizona
January 2022,"$563,694,591","$41,890,200",7.4%,"$1,952,971",Arizona
February 2022,"$491,665,554","$25,629,835",5.2%,"$670,686",Arizona
March 2022,"$690,979,294","$38,898,393",5.6%,"$1,864,457",Arizona
April 2022,"$512,877,848","$30,441,992",5.9%,"$1,647,450",Arizona
May 2022,"$461,450,688","$56,193,286",12.2%,"$4,125,125",Arizona
June 2022,"$318,774,198","$12,601,356",4.0%,"$766,831",Arizona
July 2022,"$290,511,533","$22,684,581",7.8%,"$1,496,427",Arizona
August 2022,"$361,008,835","$37,161,759",10.3%,"$2,767,590",Arizona
September 2022,"$537,966,149","$56,428,816",10.5%,"$3,058,838",Arizona
October 2022,"$618,570,296","$49,392,417",8.0%,"$2,963,716",Arizona
November 2022,"$616,855,045","$56,028,195",9.1%,"$3,876,208",Arizona
December 2022,"$572,490,899","$55,581,725",9.7%,"$3,724,395",Arizona
January 2023,"$591,220,794","$47,486,817",8.0%,"$2,886,502",Arizona
February 2023,"$609,278,096","$35,412,452",5.8%,"$1,609,581",Arizona
March 2023,"$644,763,991","$53,523,947",8.3%,"$3,704,268",Arizona
April 2023,"$535,712,027","$49,163,323",9.2%,"$3,429,846",Arizona
May 2023,"$451,717,025","$49,458,507",10.9%,"$3,376,059",Arizona
June 2023,"$393,198,858","$28,331,608",7.2%,"$1,633,356",Arizona
July 2023,"$323,211,485","$35,343,495",10.9%,"$2,678,598",Arizona
August 2023,"$358,875,474","$31,681,151",8.8%,"$2,128,096",Arizona
September 2023,"$610,716,285","$60,115,066",9.8%,"$3,243,222",Arizona
October 2023,"$648,208,573","$56,868,981",8.8%,"$3,287,799",Arizona
November 2023,"$713,586,704","$42,333,282",5.9%,"$2,023,887",Arizona
December 2023,"$693,310,960","$67,697,686",9.8%,"$4,817,325",Arizona
January 2024,"$706,382,861","$70,943,718",10.0%,"$4,610,005",Arizona
February 2024,"$637,485,879","$54,329,589",8.5%,"$2,788,885",Arizona
March 2024,"$759,807,633","$59,289,055",7.8%,"$3,784,200",Arizona
April 2024,"$656,322,666","$64,489,906",9.8%,"$4,328,378",Arizona
May 2024,"$568,493,315","$62,444,214",11.0%,"$4,307,143",Arizona
June 2024,"$454,116,117","$47,269,458",10.4%,"$3,157,087",Arizona
July 2024,"$410,140,440","$42,514,638",10.4%,"$2,896,319",Arizona
August 2024,"$496,602,562","$37,071,285",7.5%,"$2,239,781",Arizona
September 2024,"$732,099,544","$76,364,871",10.4%,"$3,962,932",Arizona
October 2024,"$791,243,694","$55,622,010",7.0%,"$2,353,297",Arizona
November 2024,"$897,635,847","$86,285,876",9.6%,"$5,731,498",Arizona
December 2024,"$849,316,636","$51,089,325",6.0%,"$2,580,184",Arizona
January 2025,"$864,246,556","$85,003,961",9.8%,"$5,318,013",Arizona
February 2025,"$699,726,800","$65,584,317",9.4%,"$3,980,547",Arizona
March 2025,"$887,363,830","$50,409,421",5.7%,"$2,491,843",Arizona
April 2025,"$746,436,864","$65,890,775",8.8%,"$4,337,306",Arizona
May 2025,"$707,103,199","$75,074,646",10.6%,"$5,169,342",Arizona
June 2025,"$542,954,635","$68,139,684",12.5%,"$5,028,579",Arizona
Total,"$26,761,373,921","$2,319,223,401",8.7%,"$138,753,855",Arizona
July 2019,"$416,160","$76,885",18.5%,"$9,995",Arkansas
August 2019,"$778,249","$58,858",7.6%,"$7,652",Arkansas
September 2019,"$2,252,196","$183,044",8.1%,"$23,796",Arkansas
October 2019,"$2,216,369","$380,006",17.1%,"$49,401",Arkansas
November 2019,"$2,978,235","$181,497",6.1%,"$23,595",Arkansas
December 2019,"$2,633,806","$455,368",17.3%,"$59,198",Arkansas
January 2020,"$2,587,732","$254,811",9.8%,"$33,263",Arkansas
February 2020,"$4,294,366","$411,589",9.6%,"$67,494",Arkansas
March 2020,"$1,588,403","$222,373",14.0%,"$38,310",Arkansas
April 2020,$0,$0,,$0,Arkansas
May 2020,$509,-$115,-22.6%,-$15,Arkansas
June 2020,"$1,189",$10,0.8%,$1,Arkansas
