month,handle,revenue,hold,taxes,state
2021-09-01,291212868,32308342,11.1,31393,Arizona
2021-10-01,486097352,37510371,7.7,1022841,Arizona
2021-11-01,466725687,51416143,11,3177148,Arizona
2021-12-01,499213733,39822928,8,1723902,Arizona
2022-01-01,563694591,41890200,7.4,1952971,Arizona
2022-02-01,491665554,25629835,5.2,670686,Arizona
2022-03-01,690979294,38898393,5.6,1864457,Arizona
2022-04-01,512877848,30441992,5.9,1647450,Arizona
2022-05-01,461450688,56193286,12.2,4125125,Arizona
2022-06-01,318774198,12601356,4,766831,Arizona
2022-07-01,290511533,22684581,7.8,1496427,Arizona
2022-08-01,361008835,37161759,10.3,2767590,Arizona
2022-09-01,537966149,56428816,10.5,3058838,Arizona
2022-10-01,618570296,49392417,8,2963716,Arizona
2022-11-01,616855045,56028195,9.1,3876208,Arizona
2022-12-01,572490899,55581725,9.7,3724395,Arizona
2023-01-01,591220794,47486817,8,2886502,Arizona
2023-02-01,609278096,35412452,5.8,1609581,Arizona
2023-03-01,644763991,53523947,8.3,3704268,Arizona
2023-04-01,535712027,49163323,9.2,3429846,Arizona
2023-05-01,451717025,49458507,10.9,3376059,Arizona
2023-06-01,393198858,28331608,7.2,1633356,Arizona
2023-07-01,323211485,35343495,10.9,2678598,Arizona
2023-08-01,358875474,31681151,8.8,2128096,Arizona
2023-09-01,610716285,60115066,9.8,3243222,Arizona
2023-10-01,648208573,56868981,8.8,3287799,Arizona
2023-11-01,713586704,42333282,5.9,2023887,Arizona
2023-12-01,693310960,67697686,9.8,4817325,Arizona
2024-01-01,706382861,70943718,10,4610005,Arizona
2024-02-01,637485879,54329589,8.5,2788885,Arizona
2024-03-01,759807633,59289055,7.8,3784200,Arizona
2024-04-01,656322666,64489906,9.8,4328378,Arizona
2024-05-01,568493315,62444214,11,4307143,Arizona
2024-06-01,454116117,47269458,10.4,3157087,Arizona
2024-07-01,410140440,42514638,10.4,2896319,Arizona
2024-08-01,496602562,37071285,7.5,2239781,Arizona
2024-09-01,732099544,76364871,10.4,3962932,Arizona
2024-10-01,791243694,55622010,7,2353297,Arizona
2024-11-01,897635847,86285876,9.6,5731498,Arizona
2024-12-01,849316636,51089325,6,2580184,Arizona
2025-01-01,864246556,85003961,9.8,5318013,Arizona
2025-02-01,699726800,65584317,9.4,3980547,Arizona
2025-03-01,887363830,50409421,5.7,2491843,Arizona
2025-04-01,746436864,65890775,8.8,4337306,Arizona
2025-05-01,707103199,75074646,10.6,5169342,Arizona
2025-06-01,542954635,68139684,12.5,5028579,Arizona
2019-07-01,416160,76885,18.5,9995,Arkansas
2019-08-01,778249,58858,7.6,7652,Arkansas
2019-09-01,2252196,183044,8.1,23796,Arkansas
2019-10-01,2216369,380006,17.1,49401,Arkansas
2019-11-01,2978235,181497,6.1,23595,Arkansas
2019-12-01,2633806,455368,17.3,59198,Arkansas
2020-01-01,2587732,254811,9.8,33263,Arkansas
2020-02-01,4294366,411589,9.6,67494,Arkansas
2020-03-01,1588403,222373,14,38310,Arkansas
2020-04-01,0,0,NA,0,Arkansas
2020-05-01,509,-115,-22.6,-15,Arkansas
2020-06-01,1189,10,0.8,1,Arkansas
2020-07-01,179315,-19633,-10.9,-2552,Arkansas
2020-08-01,1008992,69625,6.9,9051,Arkansas
2020-09-01,3958748,397095,10,51622,Arkansas
2020-10-01,6559859,940513,14.3,122267,Arkansas
2020-11-01,6288249,975984,15.5,126878,Arkansas
2020-12-01,6415446,1054273,16.4,137055,Arkansas
2021-01-01,7187194,1383240,19.2,180474,Arkansas
2021-02-01,4469442,651239,14.6,92922,Arkansas
2021-03-01,5947427,805182,13.5,130877,Arkansas
2021-04-01,4065703,756328,18.6,131137,Arkansas
2021-05-01,3687207,506142,13.7,81710,Arkansas
2021-06-01,3895683,382940,9.8,59088,Arkansas
2021-07-01,2908833,449040,15.4,58375,Arkansas
2021-08-01,2892285,310481,10.7,40363,Arkansas
2021-09-01,7007774,809404,11.6,105223,Arkansas
2021-10-01,9506183,803567,8.5,104464,Arkansas
2021-11-01,8380191,1623434,19.4,211047,Arkansas
2021-12-01,7794292,130305,1.7,6188,Arkansas
2022-01-01,8775932,1181335,13.5,153574,Arkansas
2022-02-01,5876444,359103,6.1,61390,Arkansas
2022-03-01,10686501,791867,7.4,119671,Arkansas
2022-04-01,8598226,749810,8.7,120297,Arkansas
2022-05-01,10185647,615576,6,117426,Arkansas
2022-06-01,12632207,4045,0,12598,Arkansas
2022-07-01,9290467,854436,9.2,111077,Arkansas
2022-08-01,10195911,1015339,10,131994,Arkansas
2022-09-01,21185547,3208032,15.1,417044,Arkansas
2022-10-01,26879107,2793719,10.4,363183,Arkansas
2022-11-01,30576009,2999450,9.8,452393,Arkansas
2022-12-01,30936485,3409972,11,449690,Arkansas
2023-01-01,32976264,2868244,8.7,439379,Arkansas
2023-02-01,29532263,1709714,5.8,254925,Arkansas
2023-03-01,37474412,4264047,11.4,626042,Arkansas
2023-04-01,25452659,2336023,9.2,349633,Arkansas
2023-05-01,22777209,2293281,10.1,458656,Arkansas
2023-06-01,22708945,1334973,5.9,266995,Arkansas
2023-07-01,17577626,2077422,11.8,270065,Arkansas
2023-08-01,22553214,1673538,7.4,217560,Arkansas
2023-09-01,41002257,3992930,9.7,519081,Arkansas
2023-10-01,44986803,5825161,12.9,757271,Arkansas
2023-11-01,54770449,3018845,5.5,392450,Arkansas
2023-12-01,52952226,5762757,10.9,783089,Arkansas
2024-01-01,50698701,5855921,11.6,894654,Arkansas
2024-02-01,40947811,2672209,6.5,413682,Arkansas
2024-03-01,50031696,3406749,6.8,510490,Arkansas
2024-04-01,41763742,3788712,9.1,568356,Arkansas
2024-05-01,39823867,3556977,8.9,700934,Arkansas
2024-06-01,31416492,3227769,10.3,645554,Arkansas
2024-07-01,25464080,2677225,10.5,348039,Arkansas
2024-08-01,32207497,1941927,6,252451,Arkansas
2024-09-01,53056638,6918341,13,899384,Arkansas
2024-10-01,60435368,3150162,5.2,409521,Arkansas
2024-11-01,66058203,9201130,13.9,1196147,Arkansas
2024-12-01,65930594,2008583,3,277977,Arkansas
2025-01-01,62347910,6931367,11.1,1023821,Arkansas
2025-02-01,46305952,4386890,9.5,656426,Arkansas
2025-03-01,65593042,1703065,2.6,248846,Arkansas
2025-04-01,48687247,4542660,9.3,829731,Arkansas
2025-05-01,47308479,4706466,9.9,941293,Arkansas
2025-06-01,37466071,4888919,13,977784,Arkansas
2025-07-01,29432610,3427539,11.6,445580,Arkansas
2020-05-01,25621762,2565729,10,96545,Colorado
2020-06-01,38136949,3484015,9.1,217945,Colorado
2020-07-01,59183620,5196599,8.8,239153,Colorado
2020-08-01,128646209,7519599,5.8,189326,Colorado
2020-09-01,207655943,4166334,2,69772,Colorado
2020-10-01,210719821,17402409,8.3,806618,Colorado
2020-11-01,231238842,18354655,7.9,780635,Colorado
2020-12-01,284551472,17151867,6,531495,Colorado
2021-01-01,326903462,23144535,7.1,1194690,Colorado
2021-02-01,266549207,10444810,3.9,333976,Colorado
2021-03-01,300990842,20365119,6.8,1061008,Colorado
2021-04-01,244446760,17563939,7.2,1083812,Colorado
2021-05-01,248968193,15129108,6.1,633896,Colorado
2021-06-01,229764688,19730957,8.6,1186455,Colorado
2021-07-01,181327995,15652461,8.6,999111,Colorado
2021-08-01,211918185,15228343,7.2,728518,Colorado
2021-09-01,408314625,22658630,5.5,483048,Colorado
2021-10-01,491453342,28616708,5.8,1246804,Colorado
2021-11-01,475441229,36781848,7.7,1981640,Colorado
2021-12-01,461448574,24732487,5.4,770561,Colorado
2022-01-01,573720213,34640219,6,1447952,Colorado
2022-02-01,440508421,19604490,4.5,314731,Colorado
2022-03-01,505611080,28238194,5.6,1313076,Colorado
2022-04-01,392311737,22571887,5.8,1231742,Colorado
2022-05-01,360325438,27119329,7.5,1659189,Colorado
2022-06-01,313215081,6781092,2.2,268280,Colorado
2022-07-01,258414808,20802881,8.1,1092182,Colorado
2022-08-01,290107970,25859270,8.9,1822272,Colorado
2022-09-01,450232597,51339659,11.4,2989342,Colorado
2022-10-01,526619777,36514974,6.9,2330705,Colorado
2022-11-01,552603013,37569022,6.8,2581533,Colorado
2022-12-01,518088768,40909238,7.9,2583711,Colorado
2023-01-01,547189025,35482562,6.5,2586457,Colorado
2023-02-01,425142877,22599602,5.3,1257332,Colorado
2023-03-01,494440210,45935669,9.3,3103024,Colorado
2023-04-01,417814147,35148592,8.4,2582615,Colorado
2023-05-01,385242136,31406903,8.2,2218084,Colorado
2023-06-01,310656478,9223661,3,441951,Colorado
2023-07-01,281110490,24962106,8.9,1778773,Colorado
2023-08-01,306065791,25873058,8.5,1806025,Colorado
2023-09-01,512792794,45276517,8.8,3126136,Colorado
2023-10-01,554859801,46914492,8.5,3351482,Colorado
2023-11-01,608488266,28585606,4.7,1489224,Colorado
2023-12-01,716430270,40537499,5.7,3682335,Colorado
2024-01-01,596685968,53490323,9,4128369,Colorado
2024-02-01,536988261,25762378,4.8,1302174,Colorado
2024-03-01,593094977,45041776,7.6,2852592,Colorado
2024-04-01,509508228,32028036,6.3,1910656,Colorado
2024-05-01,447561934,44991355,10.1,3206326,Colorado
2024-06-01,350425610,28196297,8,1816861,Colorado
2024-07-01,320396841,32548659,10.2,2369730,Colorado
2024-08-01,372378664,33202184,8.9,2375443,Colorado
2024-09-01,562923090,55092144,9.8,4049802,Colorado
2024-10-01,601222031,39328305,6.5,2474941,Colorado
2024-11-01,647951807,55666475,8.6,3958611,Colorado
2024-12-01,648426634,29828799,4.6,1488607,Colorado
2025-01-01,657182798,60909819,9.3,4443574,Colorado
2025-02-01,496628781,46377521,9.3,3431766,Colorado
2025-03-01,618044247,37247841,6,2217394,Colorado
2025-04-01,507860831,47275156,9.3,3402122,Colorado
2025-05-01,495332856,49043013,9.9,3587198,Colorado
2025-06-01,372493465,39848630,10.7,3079722,Colorado
2025-07-01,352309841,35533248,10.1,2715532,Colorado
2021-10-01,54641474,5567547,10.2,512951,Connecticut
2021-11-01,131729179,17456823,13.3,1712136,Connecticut
2021-12-01,150073755,10242899,6.8,929336,Connecticut
2022-01-01,158092481,11891808,7.5,1142510,Connecticut
2022-02-01,115619953,5844220,5.1,501516,Connecticut
2022-03-01,140747137,11511388,8.2,1037570,Connecticut
2022-04-01,116465199,10353842,8.9,988263,Connecticut
2022-05-01,115180155,10308064,8.9,981304,Connecticut
2022-06-01,95421852,7142610,7.5,669453,Connecticut
2022-07-01,78316775,8611816,11,859094,Connecticut
2022-08-01,80037045,10882317,13.6,1153125,Connecticut
2022-09-01,130547719,17608762,13.5,1777391,Connecticut
2022-10-01,164170106,17012667,10.4,1736473,Connecticut
2022-11-01,165026282,17869847,10.8,1942387,Connecticut
2022-12-01,160266050,16268906,10.2,1736006,Connecticut
2023-01-01,167673044,19610098,11.7,1919290,Connecticut
2023-02-01,136508300,11626147,8.5,1175694,Connecticut
2023-03-01,159997579,17029646,10.6,1855821,Connecticut
2023-04-01,126683869,13610074,10.7,1458730,Connecticut
2023-05-01,109421369,15271178,14,1645394,Connecticut
2023-06-01,91414677,9752058,10.7,961577,Connecticut
2023-07-01,91512897,11126316,12.2,1215313,Connecticut
2023-08-01,91316807,9797155,10.7,1027171,Connecticut
2023-09-01,180954956,18900892,10.4,2048710,Connecticut
2023-10-01,189626160,19849187,10.5,2243142,Connecticut
2023-11-01,205736989,12862839,6.3,1416233,Connecticut
2023-12-01,212171045,22813764,10.8,2569806,Connecticut
2024-01-01,202752249,25570170,12.6,2864562,Connecticut
2024-02-01,162841632,14820348,9.1,1598679,Connecticut
2024-03-01,187815980,16981438,9,1892701,Connecticut
2024-04-01,154109876,19105482,12.4,2133325,Connecticut
2024-05-01,163648829,17941322,11,1973947,Connecticut
2024-06-01,148557056,15626345,10.5,1695681,Connecticut
2024-07-01,121808571,15853217,13,1748461,Connecticut
2024-08-01,129150001,14514077,11.2,1577559,Connecticut
2024-09-01,214394512,27018896,12.6,3072543,Connecticut
2024-10-01,229151493,19101389,8.3,2113436,Connecticut
2024-11-01,228155465,30693791,13.5,3509155,Connecticut
2024-12-01,243670782,14773557,6.1,1622646,Connecticut
2025-01-01,229341717,27646389,12.1,3095758,Connecticut
2025-02-01,169389080,20788142,12.3,2346734,Connecticut
2025-03-01,207660971,16887263,8.1,1873342,Connecticut
2025-04-01,181821330,19320106,10.6,2132126,Connecticut
2025-05-01,183947658,23194744,12.6,2580944,Connecticut
2025-06-01,140533729,18387003,13.1,2063288,Connecticut
2025-07-01,123505445,16404168,13.3,1832016,Connecticut
2018-06-01,7003725,1000247,14.3,196323,Delaware
2018-07-01,8214765,527115,6.4,275671,Delaware
2018-08-01,8018354,983052,12.3,538543,Delaware
2018-09-01,23257965,7807511,33.6,4703849,Delaware
2018-10-01,21231427,2565957,12.1,1460148,Delaware
2018-11-01,24206090,2505848,10.4,1155765,Delaware
2018-12-01,23419539,5810007,24.8,3407848,Delaware
2019-01-01,14130069,2687370,19,1516520,Delaware
2019-02-01,8709205,-616941,-7.1,-483414,Delaware
2019-03-01,10483128,1879045,17.9,982447,Delaware
2019-04-01,6088183,703739,11.6,367524,Delaware
2019-05-01,5920766,464335,7.8,242081,Delaware
2019-06-01,6325464,533377,8.4,278491,Delaware
2019-07-01,3920974,579897,14.8,303225,Delaware
2019-08-01,4745747,586057,12.3,290170,Delaware
2019-09-01,18781406,5979895,31.8,3558378,Delaware
2019-10-01,16066023,4640776,28.9,2691088,Delaware
2019-11-01,16850854,4235148,25.1,2463260,Delaware
2019-12-01,20466561,4174862,20.4,2324290,Delaware
2020-01-01,11187011,2527312,22.6,1386819,Delaware
2020-02-01,7279650,-410665,-5.6,-367301,Delaware
2020-03-01,3877068,653127,16.8,340952,Delaware
2020-04-01,0,0,NA,-104,Delaware
2020-05-01,0,0,NA,-15,Delaware
2020-06-01,0,0,NA,-33,Delaware
2020-07-01,209282,13845,6.6,7040,Delaware
2020-08-01,2957634,419561,14.2,220175,Delaware
2020-09-01,12439302,2803022,22.5,1596046,Delaware
2020-10-01,17086034,4945186,28.9,2877725,Delaware
2020-11-01,19510093,8162861,41.8,5018419,Delaware
2020-12-01,15696681,4408081,28.1,2645802,Delaware
2021-01-01,15649254,3288405,21,1798838,Delaware
2021-02-01,7519710,679021,9,313006,Delaware
2021-03-01,6666115,1104859,16.6,577524,Delaware
2021-04-01,5470520,1023199,18.7,534814,Delaware
2021-05-01,7060911,775611,11,404929,Delaware
2021-06-01,5958137,737984,12.4,385357,Delaware
2021-07-01,4110581,724765,17.6,378599,Delaware
2021-08-01,5251471,541621,10.3,269110,Delaware
2021-09-01,13702755,4420661,32.3,2658149,Delaware
2021-10-01,22238321,4635199,20.8,2625850,Delaware
2021-11-01,13383727,6226325,46.5,3843342,Delaware
2021-12-01,12638955,-972383,-7.7,-1088521,Delaware
2022-01-01,12637103,2716347,21.5,1989974,Delaware
2022-02-01,5436407,74297,1.4,15012,Delaware
2022-03-01,5157583,631099,12.2,331496,Delaware
2022-04-01,4200298,358171,8.5,188322,Delaware
2022-05-01,5127275,565508,11,296948,Delaware
2022-06-01,3507846,242316,6.9,127482,Delaware
2022-07-01,2678686,438069,16.4,229305,Delaware
2022-08-01,2902652,399945,13.8,226701,Delaware
2022-09-01,8908981,2915961,32.7,2419632,Delaware
2022-10-01,13545163,2597717,19.2,2084703,Delaware
2022-11-01,10172819,1622874,16,1270575,Delaware
2022-12-01,8157580,1428195,17.5,1196569,Delaware
2023-01-01,8457660,1714167,20.3,1441653,Delaware
2023-02-01,4120957,347890,8.4,190355,Delaware
