state,total_handle,gross_revenue_win_rate,gross_sportsbook_revenue,state_taxes_collected,legal_betting_start_date
Arizona,27225060456,10.49%,2856685818,142778484,September 2021
Arkansas,1596203748,9.27%,147992797,22032300,July 2019
Colorado,25462689441,7.31%,1860225716,116594098,May 2020
Connecticut,7030912815,10.46%,735449717,78922691,October 2021
Delaware,966327891,17.22%,166382227,77559370,June 2018
District of Columbia,1654769907,11.71%,193750817,57466205,May 2020
Illinois,51944756599,8.60%,4465564378,904095517,March 2020
Indiana,23445064523,9.01%,2111890135,236067956,September 2019
Iowa,12076421307,7.61%,918921010,64235566,August 2019
Kansas,7110136518,9.16%,651360519,36921867,September 2022
Kentucky,5292953797,11.21%,593241463,82056872,September 2023
Louisiana,11514122663,11.62%,1337547997,186237125,November 2021
Maine,958849324,11.40%,109276513,10536254,November 2023
Maryland,15457382165,11.46%,1771976650,193668512,December 2021
Massachusetts,16410531906,9.66%,1585648284,308076921,January 2023
Michigan,21504864756,9.03%,1941399218,63985197,March 2020
Mississippi,3144709055,11.05%,347445323,41700908,August 2018
Montana,287034335,13.95%,40038643,NA,March 2020
Nebraska*,NA,N/A,11257068,2280231,June 2023
Nevada,50000533396,5.89%,2943515000,200275099,1975
New Hampshire,4019716806,8.78%,353007095,158547063,December 2019
New Jersey,65996056398,7.85%,5180902909,673749800,June 2018
New York,74942479784,8.99%,6733714057,3429666746,June 2019
North Carolina,9713585992,10.28%,998867452,179796140,March 2024
Ohio,21994177997,10.71%,2355434916,419257670,January 2023
Oregon,3195750814,10.83%,346153504,148901054,August 2019
Pennsylvania,40247691839,8.55%,3443134047,789396256,November 2018
Rhode Island,2688811233,8.69%,233555884,119568231,November 2018
South Dakota,34386769,10.23%,3518014,323202,September 2021
Tennessee**,19871866591,N/A,NA,357050909,November 2020
Vermont,341894041,10.89%,37240812,10662174,January 2024
Virginia,24747646957,9.95%,2462526834,298964549,January 2021
West Virginia,2991165080,9.20%,275180306,23983134,August 2018
Wyoming,758314046,9.86%,74772615,4382547,September 2021
