state,month,handle,sports_books,gross_revenue,adjusted_revenue,gross_win_rate,adjusted_win_rate,mobile_handle_percentage,mobile_handle_dollars,hold,taxes,number_of_regions
Arizona,2021-09-01,291212868,2 (8),31630740,392418,10.86,0.13,0.13,NA,NA,31393,NA
Arizona,2021-10-01,486097352,2 (9),36326542,10355580,7.47,2.13,2.13,NA,NA,1022841,NA
Arizona,2021-11-01,466725688,2 (9),50270066,31899147,10.77,6.83,6.83,NA,NA,3177148,NA
Arizona,2021-12-01,499213733,2 (11),38596500,17281600,7.73,3.46,3.46,NA,NA,1723902,NA
Arizona,2022-01-01,563694591,2 (12),40509947,19622351,7.19,3.48,3.48,NA,NA,1952971,NA
Arizona,2022-02-01,491665554,2 (18),24428109,6856635,4.97,1.39,1.39,NA,NA,670686,NA
Arizona,2022-03-01,690979294,2 (18),37231646,18668126,5.39,2.7,2.7,NA,NA,1864457,NA
Arizona,2022-04-01,512877848,3 (18),29249275,16501604,5.7,3.22,3.22,NA,NA,1647450,NA
Arizona,2022-05-01,461450688,3 (18),55162888,41402415,11.95,8.97,8.97,NA,NA,4125125,NA
Arizona,2022-06-01,318774198,11 (18),12059482,2816212,3.78,0.88,0.88,NA,NA,766831,NA
Arizona,2022-07-01,290511533,11 (18),21979580,14971945,7.57,5.15,5.15,NA,NA,1496427,NA
Arizona,2022-08-01,361008835,12 (18),36302128,27754084,10.06,7.69,7.69,NA,NA,2767590,NA
Arizona,2022-09-01,537966149,13 (18),551788439,30717590,10.26,5.71,5.71,NA,NA,3058838,NA
Arizona,2022-10-01,618570296,13 (18),49392417,29506795,7.98,4.77,4.77,NA,NA,2963716,NA
Arizona,2022-11-01,616855045,13 (18),56028195,38603363,9.08,6.26,6.26,NA,NA,3876207,NA
Arizona,2022-12-01,572490899,13 (17),55581725,37315141,9.71,6.52,6.52,NA,NA,3724395,NA
Arizona,2023-01-01,591220794,13 (17),47486617,28961017,8.03,4.9,4.9,NA,NA,2886502,NA
Arizona,2023-02-01,609278096,13 (17),35412452,16169916,5.81,2.65,2.65,NA,NA,1609581,NA
Arizona,2023-03-01,644763991,13 (17),53523947,37119678,8.3,5.76,5.76,NA,NA,3673468,NA
Arizona,2023-04-01,535712027,13 (17),49163323,34363339,9.18,6.41,6.41,NA,NA,3429846,NA
Arizona,2023-05-01,451717025,13 (17),49458506,33886605,10.95,7.5,7.5,NA,NA,3376059,NA
Arizona,2023-06-01,393198858,13 (17),28331609,16353354,7.21,4.16,4.16,NA,NA,1633356,NA
Arizona,2023-07-01,323211485,13 (17),35343495,26834727,10.94,8.3,8.3,NA,NA,2678598,NA
Arizona,2023-08-01,358875474,13 (17),31681151,21410424,8.83,5.97,5.97,NA,NA,2128096,NA
Arizona,2023-09-01,610716285,13 (17),60115066,32551332,9.84,5.33,5.33,NA,NA,3243222,NA
Arizona,2023-10-01,648208573,15 (17),56868981,32987401,8.77,5.09,5.09,NA,NA,3287799,NA
Arizona,2023-11-01,713586704,15 (17),42333282,20325964,5.93,2.85,2.85,NA,NA,2023887,NA
Arizona,2023-12-01,693310960,15 (17),67697686,48345630,9.76,6.97,6.97,NA,NA,4817325,NA
Arizona,2024-01-01,706382861,15 (17),70943718,46174706,10.04,6.54,6.54,NA,NA,4610005,NA
Arizona,2024-02-01,637485879,14 (17),54329589,27959904,8.52,4.39,4.39,NA,NA,2788885,NA
Arizona,2024-03-01,759807633,14 (16),59289055,38003554,7.8,5,5,NA,NA,3784200,NA
Arizona,2024-04-01,656322666,14 (16),64939905,43352637,9.89,6.61,6.61,NA,NA,4328378,NA
Arizona,2024-05-01,568493315,12 (17),62444214,43162962,10.98,7.59,7.59,NA,NA,4307143,NA
Arizona,2024-06-01,454116117,12 (17),47269459,31635501,10.41,6.97,6.97,NA,NA,3151876,NA
Arizona,2024-07-01,410140440,4 (16),42514638,29019980,10.37,7.08,7.08,NA,NA,2886153,NA
Arizona,2024-08-01,496602562,4 (15),37071285,22439831,7.47,4.5,4.5,NA,NA,2239781,NA
Arizona,2024-09-01,732099544,4 (15),76364871,39697413,10.43,5.4,5.4,NA,NA,3962932,NA
Arizona,2024-10-01,791243694,4 (15),55622010,23572734,7.02,2.97,2.97,NA,NA,2353297,NA
Arizona,2024-11-01,897635847,4 (14),86285876,57458370,9.61,6.4,6.4,NA,NA,5731498,NA
Arizona,2024-12-01,849316636,4 (14),51089325,25810840,6.02,3.04,3.04,NA,NA,2580184,NA
Arizona,2025-01-01,864241496,4 (15),84998751,53195949,9.84,6.16,6.16,NA,NA,5317493,NA
Arizona,2025-02-01,699732379,4 (15),65588933,39820807,9.37,5.69,5.69,NA,NA,3980547,NA
Arizona,2025-03-01,887363830,4 (14),50409420,48272323,5.68,5.44,5.44,NA,NA,2491843,NA
Arizona,2025-04-01,746436864,4 (14),65890774,43382456,8.83,5.81,5.81,NA,NA,4337306,NA
Arizona,2025-05-01,707103199,4 (14),75074646,51808107,10.62,7.33,7.33,NA,NA,5169342,NA
Arizona,2025-06-01,542954635,4 (14),68139684,50462163,12.55,9.29,9.29,NA,NA,5028579,NA
Arizona,2025-07-01,463686016,4 (14),54465871,40734184,11.75,8.78,8.78,NA,NA,4071327,NA
Arkansas,2019-07-01,416160,1,76885,NA,NA,NA,NA,NA,18.47,9995,NA
Arkansas,2019-08-01,778249,1,58858,NA,NA,NA,NA,NA,7.56,7652,NA
Arkansas,2019-09-01,2252196,1,183044,NA,NA,NA,NA,NA,8.13,23796,NA
Arkansas,2019-10-01,2216369,2,380006,NA,NA,NA,NA,NA,17.15,49401,NA
Arkansas,2019-11-01,2978235,2,181497,NA,NA,NA,NA,NA,6.09,23595,NA
Arkansas,2019-12-01,2683306,2,455368,NA,NA,NA,NA,NA,16.97,59198,NA
Arkansas,2020-01-01,2587732,3,254811,NA,NA,NA,NA,NA,9.85,33264,NA
