state,first_start,online,offline,abbr,fips
Delaware,2018-06-01,NA,2018-06-01,DE,10
New Jersey,2018-06-01,2018-08-01,2018-06-01,NJ,34
Mississippi,2018-08-01,NA,2018-08-01,MS,28
West Virginia,2018-08-01,2018-08-01,2018-08-01,WV,54
New Mexico,2018-10-01,NA,2018-10-01,NM,35
Pennsylvania,2018-11-01,2019-05-01,2018-11-01,PA,42
Rhode Island,2018-11-01,2019-09-01,2018-11-01,RI,44
Arkansas,2019-07-01,2022-03-01,2019-07-01,AR,5
New York,2019-07-01,2022-01-01,2019-07-01,NY,36
Iowa,2019-08-01,2019-08-01,2019-08-01,IA,19
Indiana,2019-09-01,2019-10-01,2019-09-01,IN,18
Oregon,2019-10-01,2019-10-01,NA,OR,41
New Hampshire,2019-12-01,2019-12-01,2020-08-01,NH,33
Illinois,2020-03-01,2020-06-01,2020-03-01,IL,17
Michigan,2020-03-01,2021-01-01,2020-03-01,MI,26
Montana,2020-03-01,2020-03-01,NA,MT,30
Colorado,2020-05-01,2020-05-01,2020-05-01,CO,8
District of Columbia,2020-05-01,2020-05-01,2020-07-01,DC,11
Tennessee,2020-11-01,2020-11-01,NA,TN,47
Virginia,2021-01-01,2021-01-01,NA,VA,51
North Carolina,2021-03-01,NA,2021-03-01,NC,37
North Dakota,2021-06-01,NA,2021-06-01,ND,38
Arizona,2021-09-01,2021-09-01,2021-09-01,AZ,4
South Dakota,2021-09-01,NA,2021-09-01,SD,46
Washington,2021-09-01,NA,2021-09-01,WA,53
Wyoming,2021-09-01,2021-09-01,NA,WY,56
Connecticut,2021-10-01,2021-10-01,2021-10-01,CT,9
Louisiana,2021-11-01,2022-01-01,2021-11-01,LA,22
Wisconsin,2021-11-01,2021-11-01,NA,WI,55
Maryland,2021-12-01,2022-12-01,2021-12-01,MD,24
Kansas,2022-09-01,2022-09-01,2022-09-01,KS,20
Massachusetts,2023-01-01,2023-03-01,2023-01-01,MA,25
Ohio,2023-01-01,2023-01-01,2023-01-01,OH,39
Kentucky,2023-09-01,2023-09-01,2023-09-01,KY,21
Maine,2023-11-01,2023-11-01,2024-09-01,ME,23
Vermont,2024-01-01,2024-01-01,NA,VT,50
Nebraska,2023-06-01,NA,2023-06-01,NE,31
